DATE,DTWEXB
2010-11-15,99.0686
2010-11-16,99.7069
2010-11-17,99.5557
2010-11-18,99.2499
2010-11-19,99.2984
2010-11-22,99.2949
2010-11-23,100.0498
2010-11-24,99.8464
2010-11-25,.
2010-11-26,100.4593
2010-11-29,100.8325
2010-11-30,100.7729
2010-12-01,100.3051
2010-12-02,99.9016
2010-12-03,99.5141
2010-12-06,99.6273
2010-12-07,99.5832
2010-12-08,99.9854
2010-12-09,100.0186
2010-12-10,99.9203
2010-12-13,99.5440
2010-12-14,99.3984
2010-12-15,99.7306
2010-12-16,100.0214
2010-12-17,100.1644
2010-12-20,100.2652
2010-12-21,100.1186
2010-12-22,100.0091
2010-12-23,99.8721
2010-12-24,.
2010-12-27,99.7368
2010-12-28,99.5207
2010-12-29,99.3033
2010-12-30,99.0174
2010-12-31,.
2011-01-03,98.4525
2011-01-04,98.8484
2011-01-05,99.0762
2011-01-06,99.4608
2011-01-07,99.5628
2011-01-10,99.6141
2011-01-11,99.4039
2011-01-12,98.9440
2011-01-13,98.4388
2011-01-14,98.5664
2011-01-17,.
2011-01-18,98.3351
2011-01-19,98.2008
2011-01-20,98.6461
2011-01-21,98.2418
2011-01-24,98.0593
2011-01-25,98.2311
2011-01-26,98.0103
2011-01-27,98.0772
2011-01-28,98.3158
2011-01-31,98.2216
2011-02-01,97.6641
2011-02-02,97.5668
2011-02-03,97.7384
2011-02-04,97.8670
2011-02-07,97.8282
2011-02-08,97.5716
2011-02-09,97.9071
2011-02-10,98.1328
2011-02-11,98.3584
2011-02-14,98.3403
2011-02-15,98.3787
2011-02-16,98.1885
2011-02-17,97.8973
2011-02-18,97.6715
2011-02-21,.
2011-02-22,97.9521
2011-02-23,97.9019
2011-02-24,97.7238
2011-02-25,97.6494
2011-02-28,97.4388
2011-03-01,97.3230
2011-03-02,97.2233
2011-03-03,97.1099
2011-03-04,96.9605
2011-03-07,96.9685
2011-03-08,97.1096
2011-03-09,96.9955
2011-03-10,97.3467
2011-03-11,97.1585
2011-03-14,96.9878
2011-03-15,97.2566
2011-03-16,97.4298
2011-03-17,97.1135
2011-03-18,96.9889
2011-03-21,96.6646
2011-03-22,96.5214
2011-03-23,96.7833
2011-03-24,96.5029
2011-03-25,96.5966
2011-03-28,96.7437
2011-03-29,96.8370
2011-03-30,96.6701
2011-03-31,96.4556
2011-04-01,96.2351
2011-04-04,96.2590
2011-04-05,96.1881
2011-04-06,95.9445
2011-04-07,95.9823
2011-04-08,95.5862
2011-04-11,95.5428
2011-04-12,95.7381
2011-04-13,95.6372
2011-04-14,95.5073
2011-04-15,95.4257
2011-04-18,95.9128
2011-04-19,95.4997
2011-04-20,94.9755
2011-04-21,94.6051
2011-04-22,94.7637
2011-04-25,94.8098
2011-04-26,94.6695
2011-04-27,94.6471
2011-04-28,94.2192
2011-04-29,93.9612
2011-05-02,93.8762
2011-05-03,93.9937
2011-05-04,94.2432
2011-05-05,94.8533
2011-05-06,94.8116
2011-05-09,95.1777
2011-05-10,94.9918
2011-05-11,95.0642
2011-05-12,95.4317
2011-05-13,95.7586
2011-05-16,95.7055
2011-05-17,95.9933
2011-05-18,95.6461
2011-05-19,95.6158
2011-05-20,95.6412
2011-05-23,96.2656
2011-05-24,96.0310
2011-05-25,95.9962
2011-05-26,95.9205
2011-05-27,95.3112
2011-05-30,.
2011-05-31,95.0009
2011-06-01,94.9327
2011-06-02,95.1783
2011-06-03,94.7526
2011-06-06,94.7900
2011-06-07,94.7019
2011-06-08,94.8965
2011-06-09,94.9275
2011-06-10,95.3831
2011-06-13,95.4133
2011-06-14,95.0375
2011-06-15,95.6833
2011-06-16,96.0351
2011-06-17,95.5504
2011-06-20,95.5330
2011-06-21,95.1863
2011-06-22,95.1235
2011-06-23,95.7806
2011-06-24,95.8248
2011-06-27,95.8665
2011-06-28,95.5544
2011-06-29,95.1318
2011-06-30,94.7976
2011-07-01,94.6755
2011-07-04,.
2011-07-05,94.7406
2011-07-06,94.9930
2011-07-07,94.7892
2011-07-08,94.9104
2011-07-11,95.4057
2011-07-12,95.4877
2011-07-13,94.8849
2011-07-14,94.8326
2011-07-15,94.8375
2011-07-18,95.2749
2011-07-19,94.7638
2011-07-20,94.5906
2011-07-21,94.1513
2011-07-22,94.1529
2011-07-25,94.1022
2011-07-26,93.7571
2011-07-27,93.9978
2011-07-28,94.1065
2011-07-29,94.0138
2011-08-01,94.2965
2011-08-02,94.3313
2011-08-03,94.3579
2011-08-04,95.2337
2011-08-05,95.4225
2011-08-08,95.5106
2011-08-09,95.7307
2011-08-10,95.6860
2011-08-11,95.5911
2011-08-12,95.4324
2011-08-15,95.0011
2011-08-16,94.9443
2011-08-17,94.7944
2011-08-18,95.3792
2011-08-19,95.0958
2011-08-22,95.3360
2011-08-23,95.1550
2011-08-24,95.3765
2011-08-25,95.4906
2011-08-26,95.3094
2011-08-29,95.0807
2011-08-30,95.2318
2011-08-31,94.9884
2011-09-01,95.0697
2011-09-02,95.4021
2011-09-05,.
2011-09-06,96.3664
2011-09-07,96.1678
2011-09-08,96.3186
2011-09-09,97.1446
2011-09-12,97.4328
2011-09-13,97.5104
2011-09-14,97.7010
2011-09-15,97.3590
2011-09-16,97.4094
2011-09-19,98.2626
2011-09-20,98.2042
2011-09-21,98.6834
2011-09-22,100.4114
2011-09-23,100.0272
2011-09-26,100.1451
2011-09-27,99.2502
2011-09-28,99.3750
2011-09-29,99.6582
2011-09-30,100.3493
2011-10-03,100.8437
2011-10-04,101.2743
2011-10-05,100.6245
2011-10-06,100.2751
2011-10-07,99.5678
2011-10-10,.
2011-10-11,99.2195
2011-10-12,98.6422
2011-10-13,98.9749
2011-10-14,98.5309
2011-10-17,98.5532
2011-10-18,98.8972
2011-10-19,98.6267
2011-10-20,99.4313
2011-10-21,98.6356
2011-10-24,98.1803
2011-10-25,98.2395
2011-10-26,98.3710
